Scenario,Policy,Metric,Time,DeltaValue,NormalizedDelta
Base MR,Passive q,dK_0.5y,0.0,47.90547179127196,0.9999999999999791
Base MR,Passive q,dK_0.5y,0.25,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,0.5,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,0.75,47.90547179127195,0.9999999999999789
Base MR,Passive q,dK_0.5y,1.0,47.90547179127195,0.9999999999999789
Base MR,Passive q,dK_0.5y,1.25,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,1.5,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,1.75,47.90547179127193,0.9999999999999785
Base MR,Passive q,dK_0.5y,2.0,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,2.25,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,2.5,47.90547179127195,0.9999999999999789
Base MR,Passive q,dK_0.5y,2.75,47.90547179127196,0.9999999999999791
Base MR,Passive q,dK_0.5y,3.0,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,3.25,47.90547179127193,0.9999999999999785
Base MR,Passive q,dK_0.5y,3.5,47.90547179127192,0.9999999999999784
Base MR,Passive q,dK_0.5y,3.75,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,4.0,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,4.25,47.90547179127193,0.9999999999999785
Base MR,Passive q,dK_0.5y,4.5,47.90547179127193,0.9999999999999785
Base MR,Passive q,dK_0.5y,4.75,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,5.0,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,5.25,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,5.5,47.90547179127193,0.9999999999999785
Base MR,Passive q,dK_0.5y,5.75,47.905471791271935,0.9999999999999787
Base MR,Passive q,dK_0.5y,6.0,47.90547179127195,0.9999999999999789
Base MR,Passive q,dK_0.5y,6.25,47.90547179127194,0.9999999999999788
Base MR,Passive q,dK_0.5y,6.5,47.905471791271964,0.9999999999999792
Base MR,Passive q,dK_0.5y,6.75,24.999999999999996,0.5218610539715903
Base MR,Passive q,dK_0.5y,7.0,0.0,0.0
Base MR,Passive q,dK_1y,0.0,88.52330898856503,0.9999999999999888
Base MR,Passive q,dK_1y,0.25,88.30467185773547,0.9975301744441253
Base MR,Passive q,dK_1y,0.5,88.16865166752545,0.9959936278355073
Base MR,Passive q,dK_1y,0.75,88.14980733921577,0.9957807536385869
