TimeYears,TimeLabel,Metric,Policy,StateVariable,StateValue,StateValuePlot,DeltaValue
0.0,t=0y,dK_0.5y,Passive q,r,-0.03,-3.0,41.00798298353442
0.0,t=0y,dK_0.5y,Passive q,r,-0.0275,-2.75,44.11374042974927
0.0,t=0y,dK_0.5y,Passive q,r,-0.024999999999999998,-2.5,46.65711731325928
0.0,t=0y,dK_0.5y,Passive q,r,-0.0225,-2.25,47.64761547366214
0.0,t=0y,dK_0.5y,Passive q,r,-0.019999999999999997,-1.9999999999999998,47.64761547366203
0.0,t=0y,dK_0.5y,Passive q,r,-0.017499999999999998,-1.7499999999999998,47.756403817191426
0.0,t=0y,dK_0.5y,Passive q,r,-0.015,-1.5,47.88533197599645
0.0,t=0y,dK_0.5y,Passive q,r,-0.012499999999999997,-1.2499999999999998,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,-0.009999999999999998,-0.9999999999999999,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,-0.0075,-0.75,47.90547179127202
0.0,t=0y,dK_0.5y,Passive q,r,-0.0049999999999999975,-0.4999999999999998,47.90547179127202
0.0,t=0y,dK_0.5y,Passive q,r,-0.0024999999999999988,-0.2499999999999999,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.0,0.0,47.90547179127188
0.0,t=0y,dK_0.5y,Passive q,r,0.0025000000000000022,0.2500000000000002,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.0050000000000000044,0.5000000000000004,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.0075,0.75,47.90547179127199
0.0,t=0y,dK_0.5y,Passive q,r,0.010000000000000002,1.0000000000000002,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.012500000000000004,1.2500000000000004,47.90547179127192
0.0,t=0y,dK_0.5y,Passive q,r,0.015,1.5,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.0175,1.7500000000000002,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.020000000000000004,2.0000000000000004,47.90547179127192
0.0,t=0y,dK_0.5y,Passive q,r,0.0225,2.25,47.90547179127194
0.0,t=0y,dK_0.5y,Passive q,r,0.025,2.5,47.90547179127196
0.0,t=0y,dK_0.5y,Passive q,r,0.027500000000000004,2.7500000000000004,47.90547179127193
0.0,t=0y,dK_0.5y,Passive q,r,0.03,3.0,47.90547179127193
0.0,t=0y,dK_0.5y,Passive q,r,0.0325,3.25,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.035,3.5000000000000004,47.905471791271935
0.0,t=0y,dK_0.5y,Passive q,r,0.037500000000000006,3.7500000000000004,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.04000000000000001,4.000000000000001,47.90547179127195
0.0,t=0y,dK_0.5y,Passive q,r,0.042499999999999996,4.25,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.045,4.5,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.0475,4.75,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.05,5.0,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.052500000000000005,5.250000000000001,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.05500000000000001,5.500000000000001,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.05750000000000001,5.750000000000001,47.905471791271964
0.0,t=0y,dK_0.5y,Passive q,r,0.06,6.0,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.0625,6.25,47.90547179127191
0.0,t=0y,dK_0.5y,Passive q,r,0.065,6.5,47.88533197599651
