Scenario,Policy,Final K,Cum coupon,Penalty,Liq cost,Time in breach,Avg q,Final q,Min CAR,Max |MtM|
Base MR,Passive q,15.128676596984768,1.1286765969847632,0.0,0.0,0.0,100.0,100.0,0.139980427996238,4.034947634057459
Base MR,CAR-target,10.213442820929192,1.6019061446084253,3.0,2.38846332367923,0.39285714285714285,121.8417367685159,107.20748157896556,0.09268832482046163,5.245431924274697
Base MR,MtM-band,14.125617689882928,0.9256176898829233,0.0,0.8,0.0,82.5,80.0,0.139980427996238,3.6314528706517133
Base MR,0.5y-greedy,15.128676596984768,1.1286765969847632,0.0,0.0,0.0,100.0,100.0,0.139980427996238,4.034947634057459
Base MR,Optimal V,15.128676596984768,1.1286765969847632,0.0,0.0,0.0,100.0,100.0,0.139980427996238,4.034947634057459
Early sell-off,Passive q,26.83072292017455,12.830722920174544,0.0,0.0,0.0,100.0,100.0,0.139980427996238,18.446287102362867
Early sell-off,CAR-target,30.460889959190137,17.86117966609127,0.0,1.4002897069011402,0.0,136.2567963603182,140.0,0.10399253699146867,25.824801943308017
Early sell-off,MtM-band,14.69042987028851,3.890429870288505,0.0,3.2,0.0,35.714285714285715,20.0,0.139980427996238,9.223143551181433
Early sell-off,0.5y-greedy,26.83072292017455,12.830722920174544,0.0,0.0,0.0,100.0,100.0,0.139980427996238,18.446287102362867
Early sell-off,Optimal V,30.247375080465527,17.047375080465518,0.0,0.8,0.0,130.71428571428572,140.0,0.13384835046446308,22.135544522835442
Rally,Passive q,-19.926257165451478,-13.92625716545148,20.0,0.0,0.7142857142857143,100.0,100.0,-0.19926257165451478,25.038410153260116
Rally,CAR-target,-10.737549022002357,-7.462329789061661,11.0,6.275219232940698,0.5,45.144901151771684,0.0,-5.736330043754721,25.317326507889707
Rally,MtM-band,5.9096583636006805,-4.890341636399322,0.0,3.2,0.0,38.57142857142857,20.0,0.1394155679808417,15.620007965144046
Rally,0.5y-greedy,2.8183038699391636,-9.281696130060837,0.0,1.9,0.2857142857142857,59.82142857142857,25.0,0.09257470921379551,24.85272639909775
Rally,Optimal V,6.413667211051805,-4.186332788948195,0.0,3.4,0.0,29.642857142857142,0.0,0.1394155679808417,16.735722819797193
Hump vol,Passive q,5.062020426320127,-4.937979573679873,4.0,0.0,0.14285714285714285,100.0,100.0,0.05062020426320127,12.219002244452177
Hump vol,CAR-target,-8.00418295135799,-2.5808972616137607,13.0,6.423285689744224,0.5357142857142857,61.79179422253781,0.0,-0.9438697321557278,13.220414650352879
Hump vol,MtM-band,9.431743001878877,-2.192537808828379,0.0,2.3757191892927496,0.0,56.26108936120293,39.00488651396134,0.13821494400781778,7.381593663562846
Hump vol,0.5y-greedy,8.846020874519471,-4.85397912548053,0.0,0.30000000000000004,0.07142857142857142,98.92857142857143,85.0,0.09781793703240227,12.219002244452177
Hump vol,Optimal V,10.090385876808234,-2.909614123191768,0.0,1.0,0.0,66.07142857142857,50.0,0.139980427996238,9.164251683339133
Whipsaw,Passive q,13.021651099309587,-0.9783489006904144,0.0,0.0,0.0,100.0,100.0,0.13021651099309586,3.2540049382499743
Whipsaw,CAR-target,-1.7179768911175244,-0.7943843522045361,10.0,4.923592538912988,0.5714285714285714,114.2611962086805,40.288963314393044,-0.04264137743409707,3.9666504454278617
Whipsaw,MtM-band,12.863262407451185,-0.8930082056165872,0.0,0.2437293869322258,0.0,93.03043087699044,92.19408258222927,0.13952373131950468,3.2540049382499743
Whipsaw,0.5y-greedy,13.021651099309587,-0.9783489006904144,0.0,0.0,0.0,100.0,100.0,0.13021651099309586,3.2540049382499743
Whipsaw,Optimal V,12.925591821982248,-0.8744081780177573,0.0,0.2,0.0,91.42857142857143,90.0,0.139980427996238,3.2540049382499743
